class,RP,ST,WCIMD,AR,MS,DS,LD,TLC,MDLC,H1LC,CWC,DA,PA,HTTP or HTTPs,OL,IL,IMGL,Backlinks,Traffic,DSX,SMR,CT,WC,RTS,SDMS,SMU,KWURL,QWURL,KWMD,KWT
P,96,5,27,724231,9,79,0.8,55,156,44,2101,42,39,1,184,164,13,46,186,14,143023,1,24,1,6,1,1,0,0,0
Q,97,5,19,113455,8,26,3.3,101,130,87,2100,49,44,1,476,450,29,5,51,14,20610,1,7,1,10,1,1,0,1,1
R,98,5,2,1455479,33,70,1.4,94,12,71,1154,52,41,0,188,158,1,0,0,14,410944,1,2,1,5,1,0,0,0,1
S,99,5,36,26495,49,85,2.9,89,207,69,2407,43,44,1,90,86,15,15,906,14,29974,0,2,1,4,1,0,1,1,1
T,100,5,26,6015,29,58,1.9,81,144,64,3042,94,64,1,196,91,4,40,97,14,600,1,15,1,6,1,0,0,0,1
A,1,1,16,147995,78,98,1,51,94,33,863,60,57,1,82,41,9,29,0,14,75985,0,8,1,6,1,1,1,1,1
B,2,1,6,1744885,71,95,1.7,37,48,37,1151,34,28,1,110,79,13,0,49,13,1173762,0,7,1,8,1,1,0,0,1
C,3,3,23,64076,68,91,1.9,41,145,41,943,43,46,1,121,42,8,9,68,14,55326,0,7,1,2,1,1,1,1,1
D,4,3,25,9404,66,89,1.9,78,154,57,1412,68,56,1,132,121,2,75,594,14,11468,1,8,1,10,1,1,0,0,1
E,5,3,56,0,58,87,2.2,58,342,40,519,3,5,1,51,30,2,4,0,14,4617345,1,15,1,0,0,1,1,1,1
F,6,3,25,9953,53,85,2.4,79,154,56,1299,86,64,1,98,69,12,59,221,14,12558,1,25,1,4,1,1,0,1,1
G,7,5,27,3497096,44,85,2.5,39,154,35,2250,22,30,1,120,72,7,143,0,14,1496168,1,7,1,11,1,1,0,1,1
H,8,5,27,1473288,43,84,2.6,57,160,57,1710,25,50,1,273,254,16,267,459,26,2601592,1,7,1,11,1,1,0,0,1
I,9,5,34,94,41,75,3.6,60,196,36,898,95,46,1,96,46,21,1,13,14,123,1,2,1,4,1,1,0,1,1
J,10,5,16,147995,41,75,4.7,51,94,33,863,60,57,1,82,41,9,18,8,14,75985,1,8,1,6,1,1,1,1,1
K,91,5,18,2945844,39,67,5.9,165,139,0,0,41,35,0,0,0,0,25,1,40,4795760,0,15,1,0,0,0,0,0,0
L,92,5,18,53427,39,64,7.6,165,139,17,7286,72,58,1,311,193,14,60,153,40,50667,0,15,1,0,0,0,0,0,0
M,93,5,19,80431,38,95,7.9,62,150,0,76,53,47,0,0,0,0,3,0,35,204511,0,16,1,0,0,0,0,0,0
N,94,5,24,90621,22,89,1.6,33,159,21,808,57,42,1,122,108,2,11,383,1,99293,0,7,1,0,0,0,1,0,0
O,95,5,21,888383,7,50,1.2,223,19,0,4491,45,39,1,249,217,60,3,4,35,4563925,0,17,1,0,0,0,0,0,0
P,96,5,26,301475,7,49,2,61,161,0,6,44,44,1,0,0,0,6,32,40,824987,0,15,1,0,0,0,0,0,0
Q,97,5,28,3387890,5,47,5.6,72,341,44,1093,33,30,0,145,143,0,0,0,14,12664892,0,17,1,0,0,0,0,0,0
R,98,5,24,1593739,99,98,0.6,53,165,0,0,39,30,0,0,0,0,9,0,35,2263467,0,15,1,0,0,0,0,0,1
S,99,5,14,242776,12,39,6,79,92,27,953,34,31,1,110,99,19,7,30,14,529221,1,15,1,2,1,0,0,0,0
T,100,5,29,132996,51,35,1.8,53,160,53,1330,49,51,1,126,104,30,3,0,14,312028,1,2,1,12,1,0,0,0,0
A,1,1,22,791,81,96,0.8,47,156,36,1305,93,68,1,167,101,13,524,90,14,222,1,25,1,6,1,1,0,1,1
B,2,3,25,1274691,63,91,1,58,153,44,1300,49,44,1,128,104,5,39,230,40,86653,1,10,1,8,1,1,1,1,1
C,3,3,22,2589792,62,87,1.4,50,153,50,1882,23,27,1,52,48,3,59,1422,14,701028,1,7,1,8,1,1,0,1,0
D,4,3,56,307342,59,85,1.6,73,326,58,766,19,21,1,40,36,3,50,5,14,742429,1,15,1,0,0,1,0,0,1
E,5,5,27,518906,56,80,2.6,63,163,0,35,55,41,1,1,1,0,56,29,40,553078,0,15,1,0,0,0,0,0,1
F,6,5,28,57165,54,80,2.6,85,163,15,2744,68,58,1,302,263,16,441,1023,40,6166,1,11,1,12,1,1,0,1,1
G,7,5,28,1260499,50,79,3,61,162,32,2075,34,33,1,150,119,11,81,117,14,489749,1,11,1,8,1,1,0,1,1
H,8,5,25,1274691,50,79,3.6,58,154,44,1300,49,44,1,128,104,5,39,230,40,86653,1,11,1,8,1,1,1,1,1
I,9,5,24,156,46,73,4,43,208,37,9701,93,74,1,213,200,4,34,26,35,675,1,1,1,3,1,1,0,0,1
J,10,5,23,129,39,68,5.2,48,153,3,7204,95,80,1,270,178,9,57,195,24,38,1,2,0,0,0,0,0,0,0
K,91,5,32,3253310,36,65,5.5,35,161,0,0,41,42,1,0,0,0,488,1352,40,647223,0,16,1,0,0,1,0,0,0
L,92,5,26,2920,28,64,5.5,69,157,67,1593,76,69,1,66,65,0,1,0,14,5722,1,2,1,0,0,0,1,0,1
M,93,5,16,146,17,55,5.4,120,98,75,1995,93,72,1,299,188,30,7,7,14,278,1,15,1,9,1,1,1,0,1
N,94,5,23,4212,16,51,1.9,68,144,46,2206,91,70,1,126,103,11,460,913,40,1352,1,17,1,10,1,1,0,0,0
O,95,5,5,431160,14,96,1.3,26,32,10,1786,51,42,1,202,188,9,401,875,40,152318,1,11,1,8,1,0,0,0,0
P,96,5,23,3682,12,49,2.9,53,151,0,18,87,74,1,0,0,0,50,204,40,923,0,16,1,0,0,0,0,0,0
Q,97,5,30,1661,11,47,1.9,79,164,47,2758,61,47,1,49,40,3,1,184,14,373,1,8,1,1,1,0,0,0,0
R,98,5,30,128084,54,46,0.9,59,155,44,2948,67,58,1,203,181,11,20,0,14,31119,1,11,1,1,1,1,1,1,0
S,99,5,24,1996353,6,45,3.9,74,144,59,1258,29,33,1,113,88,11,10,23,40,383612,1,11,1,2,1,0,0,0,1
T,100,5,17,278,20,44,2.4,74,111,74,1851,95,83,1,242,226,2,61,6,14,74,1,15,1,5,1,0,0,0,0
A,1,1,28,9065,99,94,0.6,70,152,36,577,81,61,1,129,116,0,157,209,11,25509,1,7,1,14,1,1,0,1,1
B,2,3,5,832327,98,99,0.6,28,28,28,955,56,54,1,95,89,11,10,199,40,310395,0,7,1,0,0,1,0,1,1
C,3,3,20,8913,86,99,0.8,50,138,50,1893,92,69,1,331,307,22,64,22,14,5121,1,24,1,7,1,1,0,1,1
D,4,3,9,423826,67,99,1.4,41,41,41,1695,51,53,1,130,115,4,9,20,17,42128,1,7,1,0,0,1,1,1,1
E,5,3,24,177485,98,99,1.4,44,138,32,1892,41,38,1,118,98,1,33,37,14,95942,0,24,1,0,0,1,0,1,0
F,6,5,23,143431,61,85,1.9,31,131,12,871,71,59,1,119,103,2,752,624,40,87785,1,24,1,4,1,1,0,1,1
G,7,5,24,177485,99,99,2.4,44,138,32,1892,41,38,1,118,98,1,53,74,14,95942,0,24,1,0,0,1,0,1,0
H,8,5,9,423826,42,80,2.8,41,41,41,1695,51,53,1,130,115,4,9,20,17,42128,1,7,1,0,0,1,1,1,1
I,9,5,5,832327,28,99,2.8,28,28,28,955,56,54,1,95,89,11,10,199,40,310395,0,7,1,0,0,1,0,1,1
J,10,5,44,6344,28,65,3.2,52,257,61,1888,87,69,1,240,161,9,53,74,14,892,1,2,1,0,0,1,0,1,1
K,91,5,23,2244,24,64,3.3,51,122,71,1480,93,64,1,149,112,21,8,0,14,3925,1,19,1,8,1,1,0,1,1
L,92,5,1,2504034,21,63,4,0,0,0,10,47,42,1,0,0,0,0,0,11,47541,0,19,1,0,0,1,0,0,0
M,93,5,28,47223,15,63,6.6,73,138,0,490,46,44,1,1,1,0,0,0,14,511251,1,2,1,0,0,1,0,1,1
N,94,5,27,5091479,14,58,3.1,64,148,50,1592,13,17,1,160,119,14,0,0,14,3563532,1,2,1,13,1,1,1,1,0
O,95,5,45,536205,10,53,2.1,18,287,41,1852,38,39,1,91,75,8,3,0,14,367091,1,2,1,3,1,0,0,1,0
P,96,5,26,1675,9,52,1.3,82,143,52,405,93,57,1,69,66,3,1,470,17,784,1,7,1,0,0,1,0,1,1
Q,97,5,19,44044,7,43,4,56,123,42,2213,50,44,1,367,213,122,1,3,14,183072,1,17,1,10,1,1,0,1,1
R,98,5,17,158361,25,34,3.9,47,120,30,2506,70,50,1,1,1,2,96,72,40,44696,1,7,1,0,0,1,0,1,1
S,99,5,22,70617,33,17,2.2,57,147,57,1306,50,52,1,120,105,48,5,2,13,33580,1,24,1,5,1,0,0,1,1
T,100,5,15,262856,56,78,4.4,100,100,100,712,35,31,1,129,117,13,0,0,24,2601502,0,17,1,0,0,1,0,1,0
A,1,1,24,56754,78,90,1.1,49,145,49,3103,40,43,1,258,0,52,2004,347,14,192657,1,21,1,7,1,1,1,1,1
B,2,5,24,14897,77,88,1.1,70,153,42,3961,53,52,1,141,127,28,126,0,14,47809,1,21,1,6,1,1,0,1,1
C,3,3,24,56754,74,87,1.3,49,145,49,3103,40,43,1,258,0,52,126,347,14,192657,1,21,1,7,1,1,1,1,1
D,4,3,28,745197,58,82,1.8,103,160,61,1417,32,35,1,56,42,17,34,122,14,2292361,1,21,1,3,1,1,0,0,1
E,5,3,25,125891,55,80,1.9,48,156,48,957,43,39,1,129,100,39,0,38,14,208834,1,2,1,12,1,1,0,1,1
F,6,3,27,1914,51,73,2,45,148,45,1203,92,74,1,136,107,9,78,0,14,1226,1,15,1,3,1,0,0,0,1
G,7,5,27,11738,47,73,2.3,61,152,46,3859,56,56,1,244,186,36,196,1544,14,26036,1,21,1,16,1,1,0,1,1
H,8,5,24,56754,39,70,2.4,49,145,49,3103,40,43,1,258,0,52,126,347,14,192657,1,21,1,7,1,1,1,1,1
I,9,5,26,71,37,68,2.4,53,163,0,0,93,70,0,0,0,0,0,14,14,5209,0,20,1,0,0,0,0,0,1
J,10,5,23,290,30,67,2.4,40,140,40,3136,89,63,1,180,101,21,18995,4867,14,1842,1,21,1,6,1,1,0,1,1
K,91,5,28,7437778,27,63,2.4,76,170,46,948,16,30,1,83,76,3,0,0,14,3572963,1,21,1,6,1,1,0,1,1
L,92,5,23,374652,20,60,1.2,60,160,56,4125,8,26,1,135,124,1,2,21,14,785636,1,24,1,2,1,1,0,1,1
M,93,5,27,442,17,59,1.4,47,156,47,2428,87,71,1,364,310,24,2,0,14,488,1,21,1,10,1,1,0,1,1
N,94,5,9,346161,17,54,1.6,96,59,0,1640,26,47,1,99,74,8,10,0,14,1051816,0,24,1,0,0,1,0,1,1
O,95,5,25,34079,14,54,2.1,86,81,16,2633,54,51,1,129,118,59,588,1170,14,195115,0,24,1,0,0,0,1,1,1
P,96,5,16,692799,11,46,2.1,32,87,36,921,20,47,1,113,105,7,4,0,14,942902,1,24,0,0,0,0,0,1,0
Q,97,5,32,2920,10,88,2.6,55,158,31,1518,76,69,1,66,65,0,40,0,14,5722,0,2,1,0,0,1,0,1,1
R,98,5,43,3388,9,39,3,40,283,31,2151,91,70,1,105,69,13,2566,84818,14,3112,0,21,1,0,0,0,0,0,0
S,99,5,28,132996,6,90,1.9,53,159,60,1756,49,51,1,139,110,30,359,658,14,312028,1,2,1,12,1,1,1,0,0
T,100,5,16,917,25,40,2.6,143,93,65,1633,91,68,1,48,23,2,330,0,14,316,1,15,1,4,1,0,0,0,1
A,1,2,25,77989,76,94,1.5,105,163,86,1404,63,44,1,305,275,20,14,0,14,216055,1,15,1,2,1,1,1,1,1
B,2,3,34,44,70,88,1.1,46,218,59,2674,98,79,1,335,228,32,266,17,14,220,1,21,1,3,1,1,1,0,0
C,3,3,24,1026,62,88,1.1,53,127,57,2296,92,72,1,238,210,17,216,672,14,735,0,18,1,8,1,1,0,1,0
D,4,3,29,3388,55,94,1.2,54,171,52,3117,91,70,1,207,121,35,4926,42133,14,3112,1,2,1,5,1,0,0,0,0
E,5,3,28,55375,48,78,1.5,72,184,42,378,77,60,1,103,35,0,46,357,13,64363,1,21,1,0,0,0,0,0,0
F,6,2,18,1532,45,75,1.7,54,99,27,1056,88,79,1,317,314,18,2,118,14,40648,0,22,1,0,0,1,0,1,1
G,7,5,29,355,35,72,1.7,57,162,0,9,93,77,1,6,1,0,0,0,14,54,1,18,0,0,0,1,1,1,1
H,8,5,19,9872,35,60,2.4,54,108,33,1122,76,62,1,223,183,46,192,14,14,16210,1,24,1,0,0,1,0,1,1
I,9,5,13,916,33,90,2.7,82,90,0,1732,86,66,1,212,186,37,21,12,14,7527,1,15,1,3,1,0,0,0,1
J,10,5,24,3906,27,56,3,69,126,61,1824,85,67,1,320,198,55,0,4,14,3947,1,21,1,9,1,0,1,0,0
K,91,5,20,15425,24,56,4.9,48,367,8,2660,85,72,1,111,83,15,375,590,40,3370,1,15,1,1,1,0,0,0,0
L,92,5,27,1653360,19,52,20.4,56,159,31,835,32,38,1,68,58,2,0,52,17,532638,1,7,1,0,0,0,0,0,0
M,93,5,59,1681,16,51,4.2,118,338,105,522,93,77,1,36,21,2,477,9,14,963,1,25,1,6,1,0,0,0,0
N,94,5,19,3380,13,50,5,67,138,67,998,93,73,1,103,74,1,0,0,40,3472,1,15,1,0,0,1,0,0,1
O,95,5,15,133,13,46,2.4,98,89,72,1232,95,79,1,165,131,2,107,40472,14,70,0,15,1,0,0,0,0,0,0
P,96,5,24,28690,12,44,3.5,72,162,60,1913,31,37,1,664,562,103,0,1,14,67552,0,21,1,0,0,0,0,0,0
Q,97,5,25,22167,11,40,3,68,156,68,1403,60,47,1,163,149,0,1,5,14,73037,1,24,1,16,1,1,0,0,1
R,98,5,27,1192834,5,35,8,57,148,49,804,12,29,1,103,74,4,0,10,14,1527676,1,21,1,13,1,0,0,1,1
S,99,5,29,639,41,33,3.2,111,200,74,1518,91,68,1,412,363,55,44,0,14,1379,1,15,1,11,1,1,0,0,1
T,100,5,30,937762,37,60,4,60,167,0,2362,46,39,1,264,209,11,1,1,14,1010453,1,15,1,1,1,1,0,1,1
A,1,1,19,1914,58,85,1.5,35,111,35,1464,92,74,1,139,105,9,1437,0,14,1226,1,25,1,3,1,0,0,1,1
B,2,3,18,2466,47,77,1.4,63,122,48,1142,87,68,1,362,307,12,161,0,14,1195,1,15,1,4,1,1,0,1,1
C,3,3,23,1914,42,76,1.6,47,128,47,1792,92,74,1,158,111,9,320,57,14,1226,1,25,1,3,1,0,0,1,0
D,4,3,26,21524,38,76,1.6,65,145,65,4290,66,61,1,220,176,17,410,2848,14,15300,1,24,1,4,1,1,1,1,0
E,5,3,28,3369,30,66,1.7,57,137,57,1975,84,68,1,193,139,44,142,300,40,989,1,2,1,6,1,1,1,0,1
F,6,5,29,355,23,65,1.7,57,159,0,9,93,77,1,6,1,0,0,19,14,54,1,18,0,0,0,1,1,1,1
G,7,5,25,355,23,65,1.7,41,154,0,9,93,77,1,6,1,0,1,13,14,54,1,18,0,0,0,1,1,0,1
H,8,5,31,355,21,56,1.7,62,156,0,9,93,77,1,6,1,0,0,2,14,54,1,18,0,0,0,0,1,0,0
I,9,5,28,2392,16,55,1.8,35,159,35,3056,88,66,1,149,119,17,148,274,14,4266,1,21,1,8,1,1,0,0,1
J,10,5,32,5354,13,52,1.8,45,145,45,1535,47,37,1,23423,34,43,29,27,14,298536,1,2,1,11,1,1,1,1,1
K,91,5,20,385,13,49,1.8,48,138,22,710,75,72,1,49,28,5,0,0,14,1340,0,15,1,2,1,0,0,0,0
L,92,5,30,8171,12,49,2.3,36,150,36,1050,47,45,1,163,153,10,29,43,14,186060,1,15,1,0,0,1,1,0,1
M,93,5,22,42721,11,49,2.6,51,127,49,252611,46,42,1,195,172,22,103,299,11,292790,1,9,1,0,0,0,1,0,0
N,94,5,39,10400,8,45,4.4,68,141,62,1586,57,55,1,105,81,9,139,19,14,23237,0,24,1,0,0,1,1,1,0
O,95,5,28,9525,7,40,1.2,51,149,40,1982,85,63,1,83,48,8,16,705,14,10266,1,21,1,10,1,0,0,0,0
P,96,5,12,15273,6,39,2.3,83,74,59,2745,79,66,1,181,145,56,199,3040,14,9748,1,24,1,9,1,1,1,0,0
Q,97,5,52,3449,5,37,3.7,56,301,0,1588,88,68,1,0,0,0,31,4,14,995,1,21,1,0,0,1,0,1,1
R,98,5,20,2747,35,32,2.4,88,113,0,1998,91,69,1,0,0,0,12,0,14,146,1,21,1,0,0,1,0,0,1
S,99,5,28,9955,15,10,2.2,55,149,47,2810,79,66,1,241,221,1,23,403,14,3118,1,21,1,12,1,0,0,0,1
T,100,5,8,16804,27,90,2.2,74,60,60,1366,79,59,1,145,136,4,0,5,14,16124,1,21,1,5,1,1,0,1,1
A,1,2,29,9258,90,96,1.6,80,157,61,1237,73,65,1,206,145,12,294,542,14,11846,1,21,1,0,0,1,1,1,1
B,2,3,26,21524,61,96,0.8,65,145,65,4290,66,61,1,220,176,17,410,2848,14,15300,1,24,1,4,1,1,1,0,0
C,3,3,34,44,52,95,1.1,46,218,59,2674,98,79,1,335,228,32,266,17,14,220,1,21,1,3,1,1,1,0,0
D,4,3,17,490069,49,90,1.3,73,89,57,1412,50,46,1,89,79,2,1076,535,13,526562,1,24,1,0,0,1,1,1,0
E,5,3,19,1914,48,89,1.3,35,111,35,1464,92,74,1,139,105,9,495,590,14,1226,1,25,1,3,1,0,0,0,0
F,6,5,29,3388,44,96,1.4,54,171,52,3117,91,70,1,207,121,35,4926,42133,14,3112,1,21,1,5,1,0,0,0,0
G,7,2,18,13684,43,86,1.8,56,103,48,3030,67,52,1,389,369,29,83,769,14,9141,1,21,1,3,1,1,1,1,0
H,8,5,27,14897,43,83,2.1,59,213,59,4104,53,52,1,164,152,33,658,203,14,47809,1,21,1,6,1,1,1,0,0
I,9,5,46,10400,42,83,2.1,68,141,62,1512,57,55,1,107,88,7,233,79,14,23237,0,8,1,0,0,1,1,0,0
J,10,5,32,9695,36,80,2.3,50,177,37,2616,80,64,1,145,118,21,2910,15626,14,3090,1,24,1,1,1,1,0,1,1
K,91,5,41,4142,35,80,2.3,65,285,55,1386,76,57,1,85,71,1,168,117,14,21798,1,21,1,6,1,0,0,1,1
L,92,5,18,6,24,96,2.5,10,105,8,144,96,100,1,68,52,1,23,142,14,5,1,24,0,0,0,0,1,0,0
M,93,5,27,65619,24,73,2.6,66,154,42,1528,43,43,1,156,113,15,11,3,14,137172,1,19,1,14,1,0,1,0,1
N,94,5,25,17540,23,95,2.7,53,155,53,3074,51,46,1,175,159,14,187,369,35,80937,0,21,1,0,0,1,0,1,1
O,95,5,14,123362,21,67,4.6,80,75,67,2390,47,44,1,263,232,72,1,6,14,69873,1,24,1,11,1,1,1,0,1
P,96,5,25,80601,14,63,1.9,67,150,57,4031,51,51,1,201,140,13,817,134,14,383599,1,21,1,13,1,1,1,1,1
Q,97,5,17,151481,14,54,2.6,40,96,22,2727,35,32,1,60,40,13,216,1873,40,103727,1,24,1,0,0,1,0,1,1
R,98,5,25,908,10,47,2.6,88,153,0,914,90,90,1,1,1,0,0,0,14,7422,1,21,1,0,0,1,1,0,1
S,99,5,13,3396,5,89,0.7,62,74,74,1329,78,62,1,139,92,1,77,388,14,1230,1,21,1,5,1,0,1,0,0
T,100,5,23,212825,26,66,3,57,133,45,6341,42,44,1,227,170,43,44,59,54,949748,0,21,1,13,1,0,1,1,1
A,1,1,29,290,89,80,0.8,54,146,54,1986,89,63,1,177,92,29,4794,6805,14,1842,1,21,1,6,1,1,1,1,1
B,2,3,29,3388,88,94,1.2,54,171,52,3117,91,70,1,207,121,35,4926,42133,14,3112,1,21,1,5,1,1,0,1,0
C,3,3,34,44,82,91,1.3,46,218,59,2674,98,79,1,335,228,32,266,17,14,220,1,21,1,3,1,1,1,0,0
D,4,3,21,12584,70,94,1.3,40,144,40,1811,92,72,1,299,227,14,1649,7550,14,4490,1,24,1,9,1,0,0,1,0
E,5,2,28,16822,56,94,1.4,79,156,50,11467,60,54,1,497,401,99,4414,43705,14,16999,1,24,1,13,1,0,0,1,0
F,6,2,28,7233,56,91,1.6,48,156,48,7034,68,52,1,297,147,43,2346,18072,14,1969,1,24,1,17,1,0,0,1,0
G,7,5,19,2577,52,88,1.6,46,104,0,1874,89,67,1,166,133,2,689,0,14,1384,1,24,1,9,1,1,1,1,1
H,8,5,27,13,50,100,1.7,46,166,34,2112,98,89,1,855,810,7,13389,4661,40,1,1,28,1,3,1,0,1,0,0
I,9,5,27,233874,42,86,2.5,52,147,47,1661,41,34,1,126,101,23,427,1385,14,220226,1,24,1,8,1,1,1,1,1
J,10,5,24,302161,41,94,2.7,64,130,50,1220,16,22,1,123,81,15,30,0,14,633641,1,24,1,8,1,1,1,1,1
K,91,5,17,215956,37,72,3.4,49,88,0,1684,55,43,1,152,125,45,31,494,14,336973,1,24,1,0,0,0,0,0,0
L,92,5,29,90852,36,71,3.6,82,447,0,1432,77,54,1,3,2,0,49,0,14,11507,1,24,1,5,1,1,0,0,1
M,93,5,25,14895,35,66,4.7,55,144,55,2708,71,57,1,135,71,25,97,8,14,24613,1,24,1,6,1,1,1,1,1
N,94,5,28,345424,32,61,3,62,147,64,6366,26,37,1,350,258,67,588,275,26,3643697,1,24,1,0,0,0,0,1,1
O,95,5,28,345424,20,44,3,62,147,64,6366,26,37,1,350,258,67,0,0,26,3643697,1,24,1,0,0,0,1,1,1
P,96,5,26,840,19,88,1.6,62,148,52,517,93,78,1,67,56,2,36,10,14,103670,1,24,1,4,1,0,0,0,0
Q,97,5,32,2705,19,39,3.9,65,217,65,1117,90,55,1,133,86,6,91,234,14,841,0,24,1,6,1,0,1,0,0
R,98,5,59,12998,14,98,1.1,59,357,37,3206,67,58,1,286,156,21,619,55,14,35990,1,24,1,6,1,0,0,0,0
S,99,5,13,9959,13,26,2.6,49,95,49,1765,52,51,1,174,144,9,1,0,14,35538,1,24,1,1,1,1,1,0,1
T,100,5,25,14735,18,54,1.2,42,142,42,1444,77,34,1,139,105,20,27,2,14,10747,1,24,1,9,1,1,1,0,1
A,1,1,28,16822,99,86,1.5,79,156,50,11467,60,54,1,497,401,99,8583,43705,14,16999,1,22,1,13,1,0,0,1,1
B,2,2,35,148,73,98,1.2,97,206,0,387,94,96,1,1,1,0,4414,421,14,7,1,24,1,0,0,0,0,1,1
C,3,5,25,115446,62,92,1.2,56,129,72,8027,52,39,1,553,317,122,440,1153,14,191456,1,24,1,7,1,0,0,1,0
D,4,5,29,3388,59,94,1.2,54,171,52,3117,91,70,1,207,121,35,209,42133,14,3112,1,21,1,5,1,0,0,1,0
E,5,3,26,4339,47,94,1.4,44,157,20,1118,63,54,1,106,75,4,0,25,14,14395,0,21,1,1,1,0,1,0,0
F,6,3,27,7233,45,92,1.5,51,159,50,1802,68,52,1,147,119,27,20,44,14,1969,1,24,1,14,1,1,1,1,1
G,7,3,22,5981,44,89,1.6,31,132,18,446,85,68,1,400,392,146,1291,51551,14,5586,0,21,1,1,1,1,0,1,1
H,8,3,21,685,41,86,1.9,59,129,28,2668,83,74,1,801,754,84,489,5561,14,2481,1,21,1,4,1,1,0,1,1
I,9,5,24,13549,39,76,2.3,51,152,51,2691,64,55,1,185,131,46,216,1087,14,85800,1,21,1,0,0,1,0,1,1
J,10,5,23,3388,32,94,2.6,60,124,71,2352,91,70,1,195,124,71,631,19674,14,3112,1,21,1,5,1,1,0,1,1
K,91,5,1,5503658,29,66,4,0,0,0,633,15,19,0,0,0,0,0,0,30,1248068,0,21,1,0,0,0,0,0,0
L,92,5,16,3696,26,52,2.7,53,109,53,4589,66,54,1,572,467,216,148,2308,13,5200,1,21,1,9,1,0,0,0,0
M,93,5,33,256147,20,96,1.4,24,187,10,1396,56,56,1,201,146,52,15,161,14,1047747,0,21,1,0,0,0,0,0,1
N,94,5,23,1645,17,35,2.5,26,154,49,3231,66,44,1,457,442,7,135,846,14,102261,0,21,1,0,0,0,0,0,0
O,95,5,12,431648,17,34,6.9,44,69,44,85,20,24,1,18,16,1,503,354,14,7303271,0,21,1,1,1,0,0,0,0
P,96,5,31,44,17,98,1.1,48,183,36,1000,98,79,1,245,220,6,9,6,14,220,1,21,1,3,1,0,0,0,0
Q,97,5,1,7885621,16,89,0.4,61,0,11,1111,7,13,0,237,236,3,0,0,14,8908537,0,21,1,0,0,0,0,0,0
R,98,5,53,113725,99,97,0.6,68,295,11,848,22,49,1,197,185,0,6122,739,14,1278071,0,21,1,0,0,0,0,0,0
S,99,5,25,61657,4,96,2.3,58,156,16,1978,56,48,1,61,39,1,6339,6555,14,213026,0,21,1,0,0,0,0,0,0
T,100,5,31,66374,42,92,1,62,173,48,1301,41,48,1,114,99,11,20,349,14,79570,1,21,1,0,0,0,1,1,1
A,1,1,31,9695,65,45,2.7,65,172,52,1522,80,64,1,150,109,30,204,230,14,3090,1,21,1,5,1,1,0,1,1
B,2,3,32,18373,87,91,1.7,70,170,47,1552,61,50,1,83,71,1,254,106,14,10667,1,4,1,6,1,1,1,1,1
C,3,3,27,93,83,63,1.4,66,153,53,2843,89,74,1,127,86,8,131,70108,14,42,1,4,1,2,1,0,1,1,0
D,4,3,26,6092,76,98,1.1,60,151,56,2666,60,55,1,211,202,34,53,3599,14,1833,1,4,1,11,1,0,0,0,0
E,5,5,21,1836,71,92,1.1,50,139,50,1605,79,56,1,131,113,17,36,699,14,463,1,4,1,0,0,0,0,1,1
F,6,5,29,15922,71,51,7.2,52,151,52,2755,49,54,1,142,132,18,15,42,14,133920,1,24,1,10,1,1,0,1,1
G,7,5,31,23022,68,96,2.3,64,142,39,2137,56,50,1,81,44,14,30,362,14,18058,0,4,1,0,0,1,1,0,1
H,8,5,27,5073,64,67,0.7,101,148,79,930,80,59,1,111,87,10,2,47,14,3541,1,4,1,8,1,1,0,1,1
I,9,5,25,2630,33,97,0.7,52,153,52,3578,75,52,1,156,136,29,248,935,14,2165,1,4,1,11,1,1,0,1,1
J,10,5,30,0,32,88,1.5,60,160,50,1432,80,33,1,2234,76,3,0,0,14,24541,0,21,1,0,0,1,1,1,0
K,91,5,17,742,28,59,2.2,91,104,91,4088,92,69,1,181,132,22,773,831,14,743,1,21,1,0,0,0,1,0,0
L,92,5,22,315218,20,52,5.2,63,149,44,1279,38,37,1,132,109,11,244,1230,14,71069,1,4,1,1,1,0,0,0,0
M,93,5,27,7233,20,72,1.4,54,157,58,3507,68,52,1,186,147,27,708,592,14,1969,1,21,1,17,1,0,0,1,1
N,94,5,25,23802,100,100,0.4,31,159,42,10561,52,45,1,33,32,18,34,14,29,7958,0,4,1,0,0,0,0,1,1
O,95,5,25,4331,11,81,1.2,30,149,30,2515,82,65,1,187,172,19,1,2,14,12970,1,21,1,8,1,0,0,1,0
P,96,5,24,8322,9,99,0.7,70,148,72,1689,58,55,1,107,92,4,2,15,14,6526,1,4,1,6,1,0,0,0,0
Q,97,5,1,16608,45,76,1.6,41,0,0,12705,76,60,1,0,0,0,46,77,17,7240,0,7,1,0,0,0,0,0,0
R,98,5,10,6907,25,52,2.8,75,50,75,848,92,71,1,184,117,8,26,0,14,3711,1,21,1,3,1,0,0,0,0
S,99,5,26,241029,18,59,8.6,57,140,45,1425,47,44,1,161,143,7,1,1,14,299449,1,21,1,8,1,0,1,0,0
T,100,5,25,22087,93,98,1.8,32,186,25,1237,43,50,1,97,86,11,0,4,14,12277,1,4,1,8,1,0,0,0,0
A,1,1,29,5966,93,98,0.9,70,199,70,2363,60,56,1,195,161,6,9,0,14,7939,1,7,1,2,1,1,0,1,1
B,2,3,18,137,17,89,3.8,120,121,38,593,96,84,1,141,113,2,0,0,13,432,1,15,1,0,0,0,0,0,0
